Final Class rank,Reading Quiz Average,Number of classes attended,HW1 Percent,HW2 Percent,HW 3 Percent,HW4 Percent,HW5 Percent,HW6 Percent,HW7 Percent,HW Average,Midterm Percentage,Final Exam Percentage
80,0.6698113208,10,0.8916666667,1,1,0.8280645161,0.76,0,0.8846153846,0.8951066943,0.7608695652,0.8409090909
81,0.8490566038,0,0.7666666667,0.9782608696,0.9696969697,0.6774193548,0.76,0.7196969697,0.8269230769,0.8384892001,0.8260869565,0.8
82,0.9433962264,11,0.9666666667,1,1,0.8925806452,0.88,0.2272727273,0.8846153846,0.937931138,0.847826087,0.7363636364
83,0.9056603774,9,0.8666666667,0.9782608696,0.9696969697,0.7525806452,0.92,0.9393939394,0,0.9053793879,0.8913043478,0.7318181818
84,0.9622641509,14,0.925,0.9782608696,0.9696969697,0.8493548387,0.76,0.8409090909,0.8846153846,0.9088840187,0.7119565217,0.7954545455
85,0.9433962264,8,0.9666666667,1,0,0.9893548387,1,0.9545454545,1,0.9852420726,0.8152173913,0.7363636364
86,0.7547169811,11,1,0.847826087,0.803030303,0.7419354839,0.92,0.8409090909,0.8846153846,0.8838912319,0.75,0.8272727273
87,0.9528301887,6,0.7666666667,1,0.9924242424,0.8709677419,0.92,0.8787878788,0.9615384615,0.9379073143,0.8586956522,0.7454545455
88,0.9622641509,13,0.8583333333,1,1,0.8387096774,1,0.9166666667,1,0.9628712871,0.652173913,0.7636363636
89,1,13,0.925,0.7934782609,1,0.9570967742,0.92,0.9318181818,0.9807692308,0.9529181826,0.6304347826,0.7681818182
90,0.9056603774,5,0.9666666667,0.9782608696,0.9924242424,0.8709677419,0,0.9166666667,1,0.9546181827,0.7282608696,0.7772727273
91,1,15,0.9333333333,1,1,0.9893548387,1,0.9848484848,1,0.9957431227,0.5652173913,0.7681818182
92,1,14,0.825,1,1,0.9893548387,0.96,1,1,0.9916427127,0.7717391304,0.6954545455
93,0.9528301887,13,0.9583333333,1,0,0.9677419355,1,0.9696969697,1,0.9828006994,0.7282608696,0.7272727273
94,0.9622641509,0,0.9583333333,1,0.9772727273,0.9783870968,0.92,0,1,0.9726061316,0.6032608696,0.7818181818
95,1,11,0.9666666667,1,0,0.9893548387,1,1,1,0.9927428227,0.597826087,0.7772727273
96,1,11,0.6666666667,1,0.9090909091,0.8925806452,0.92,0.9166666667,0.8846153846,0.9212794729,0.6413043478,0.7863636364
97,1,15,0.7583333333,1,0.9090909091,0.9677419355,0.92,0.8712121212,0.07692307692,0.9053429537,0.5543478261,0.7909090909
98,0.8113207547,4,0.8,1,1,0.9032258065,0.96,0,1,0.9444267007,0.7282608696,0.7681818182
99,0.9056603774,13,0.8333333333,0.9891304348,0.9848484848,0.7635483871,0,0.7727272727,0.9038461538,0.8758142024,0.7391304348,0.7454545455
100,0.9433962264,14,0.9666666667,0.9347826087,1,0.7741935484,0.96,0.9924242424,0.8846153846,0.9568463535,0.7717391304,0.6954545455
101,0.6377358491,11,0.9666666667,1,0,0.9677419355,1,0.9696969697,0.9615384615,0.9778290484,0.7717391304,0.7227272727
102,1,15,0.9,1,0.9848484848,0.9461290323,1,0.8863636364,0,0.953356626,0.5652173913,0.75
103,0.2339622642,1,0.7666666667,0.9891304348,0.8484848485,0,0.86,0.8712121212,0,0.7253290546,0.8206521739,0.8454545455
104,0.9622641509,12,0.7,0.9782608696,0,0.7419354839,0.8,0.8939393939,0.8269230769,0.8252572317,0.8206521739,0.7
105,0.6132075472,4,0.8333333333,1,0.9090909091,0.8064516129,1,0.9848484848,0,0.9230568218,0.6739130435,0.7772727273
106,0.9528301887,3,0.8,0.9130434783,1,0.8709677419,1,0.8181818182,0.9423076923,0.9248351041,0.5217391304,0.8136363636
107,1,13,0.7333333333,1,0.9696969697,0.8064516129,1,0.9090909091,0.9230769231,0.935365745,0.6576086957,0.7227272727
108,0.8867924528,5,0.8,0.7717391304,0.696969697,0.6990322581,0.92,0.6893939394,0.7692307692,0.7783781938,0.6739130435,0.8090909091
109,0.8773584906,12,0.6666666667,1,0.8636363636,0.7203225806,0.96,0.6818181818,0.9230769231,0.8595468728,0.4891304348,0.8136363636
110,0.858490566,15,0.7333333333,0.9347826087,0.9090909091,0.8493548387,0.84,0.7196969697,0.9615384615,0.8726237874,0.5217391304,0.7772727273
111,0.8301886792,9,0.9666666667,1,0.9090909091,0.9032258065,1,0.9848484848,0.8076923077,0.9610283609,0.6358695652,0.7636363636
112,1,11,0.6333333333,1,0.9848484848,0,0.84,0.9545454545,1,0.903090309,0.7065217391,0.7318181818
113,0.8679245283,3,0.8333333333,1,0,0.8170967742,1,0.5757575758,0.9038461538,0.8564412272,0.6032608696,0.7818181818
114,0.6981132075,14,0.725,0.9347826087,0.8333333333,1,0.82,0.9242424242,1,0.9195310835,0.6956521739,0.7090909091
115,0.9905660377,0,0.9333333333,0.9347826087,0.9393939394,0.9138709677,1,0.9015151515,1,0.9540232424,0.7065217391,0.6954545455
116,0.9622641509,2,0.9666666667,1,0,1,1,1,1,0.9944994499,0.4565217391,0.7681818182
117,0.179245283,0,0.9333333333,0,0.9090909091,0.8925806452,0.71,0,0,0.5783836448,0.8695652174,0.8318181818
118,1,13,0.6666666667,0.8260869565,0.9318181818,0.8387096774,0.8,0,0.8846153846,0.8263856216,0.5869565217,0.7454545455
119,0.7169811321,5,0.9333333333,1,1,0,0.96,0.9545454545,0.8076923077,0.9431635471,0.7282608696,0.7181818182
120,0.8113207547,0,0.8583333333,0.9130434783,0.9696969697,0.494516129,0.8,0.7651515152,0.9230769231,0.8728221484,0.7989130435,0.6590909091
121,0.9245283019,15,0.7333333333,1,0,0.7741935484,1,0.7878787879,0.8846153846,0.8646899429,0.4619565217,0.75
122,0.9433962264,13,0.7666666667,1,0.8939393939,0.7525806452,0.96,0.8106060606,0.9230769231,0.893447037,0.7391304348,0.6363636364
123,1,2,0.7333333333,0.8260869565,1,0.9893548387,0.92,0.5757575758,1,0.9123391301,0.5434782609,0.7318181818
124,0.7037735849,0,0.9,1,0.9393939394,0.9032258065,0.96,0.6515151515,1,0.9509273508,0.6304347826,0.7227272727
125,0.4981132075,6,0.8583333333,0.9565217391,1,0,0.92,0,1,0.7813292199,0.5815217391,0.7954545455
126,1,3,0.9,1,1,0.9248387097,0.88,0,0.75,0.905088896,0.902173913,0.5545454545
127,1,0,0.8583333333,1,1,0.7525806452,1,0.8106060606,0.9615384615,0.9390227484,0.5434782609,0.7045454545
128,0.7924528302,6,0.7666666667,1,0.696969697,0.9032258065,0.72,0.6818181818,0.9615384615,0.8429704013,0.5869565217,0.7590909091
129,0.9339622642,9,0.8333333333,1,0.9696969697,0.6880645161,0.76,0.6287878788,0.8846153846,0.8573779214,0.6630434783,0.7136363636
130,0.9622641509,13,0.6,1,0.8333333333,0.6558064516,0.84,0.696969697,0.8461538462,0.8139048396,0.597826087,0.6727272727
131,0.5943396226,13,0.8,0.847826087,0.8484848485,0.8064516129,0.88,0.7575757576,0.9615384615,0.8587955462,0.5869565217,0.6545454545
132,1,13,0.925,0.7826086957,0.7727272727,0.9138709677,0.88,0.8712121212,0.9615384615,0.8901370043,0.5108695652,0.6409090909
133,0.7471698113,12,0.8333333333,1,0.8636363636,0.9138709677,0.76,0.9696969697,0,0.8862273324,0.6630434783,0.6136363636
134,0.6924528302,11,0.7,1,1,0.8603225806,0.8,0,0.6923076923,0.8436683619,0.5706521739,0.6954545455
135,0.3301886792,0,0,0.7173913043,0.9242424242,0.8603225806,0,0,0.8653846154,0.5655678093,0.8152173913,0.7272727273
136,0.7169811321,4,0.9,1,0.9696969697,0.935483871,0.96,0.9242424242,1,0.9652513638,0.652173913,0.6090909091
137,0.9056603774,2,0.7666666667,0.8695652174,0.8636363636,0,0,0,0,0.4224205029,0.4293478261,0.85
138,0.9622641509,9,0.8333333333,0.9456521739,0.8787878788,0,0.88,0.4018181818,0.6538461538,0.7678940135,0.7065217391,0.6409090909
139,0.4528301887,5,0.725,0.8913043478,0,0.6774193548,0.82,0.9242424242,1,0.8412485358,0.5543478261,0.7136363636
140,0.5886792453,0,0.8333333333,0.9130434783,0.9696969697,0,0,0,0,0.4481969936,0.7717391304,0.7727272727
141,0.6981132075,0,0.5333333333,0.8260869565,0.9545454545,0.6235483871,0.56,0.6439393939,0.7884615385,0.7354095265,0.6847826087,0.6681818182
142,0.641509434,4,0.8666666667,0.9565217391,0,0.9248387097,0.92,0,0.75,0.7389483689,0.777173913,0.6363636364
